Anarmani	59.8283	57.9587	57.7717	56.089	55.3412	55.3412	56.089	65.4372	67.3069	67.6808	74.0376	71.794	75.1593	71.0461	74.7854	74.0376	74.7854	69.1765	67.6808	63.5676	82.264	77.7768	74.7854	70.1113
Damak	29.9287	28.9934	28.8999	28.0581	27.684	27.684	28.0581	32.7345	33.6698	33.8568	37.0368	35.9144	37.5979	35.5403	37.4109	37.0368	37.4109	34.605	33.8568	31.7992	41.152	38.9073	37.4109	35.0727
Godak	11.6101	11.2473	11.211	10.8845	10.7394	10.7394	10.8845	12.6986	13.0614	13.134	14.3676	13.9322	14.5852	13.787	14.5127	14.3676	14.5127	13.4242	13.134	12.3358	15.964	15.0932	14.5127	13.6056
Inaruwa	24.4363	23.6727	23.5963	22.909	22.6036	22.6036	22.909	26.7272	27.4909	27.6436	30.24	29.3236	30.6981	29.0181	30.5454	30.24	30.5454	28.2545	27.6436	25.9636	33.6	31.7672	30.5454	28.6363
Kabeli/A	3.8574	3.7369	3.7248	3.6163	3.5681	3.5681	3.6163	4.219	4.3396	4.3637	4.7736	4.6289	4.8459	4.5807	4.8218	4.7736	4.8218	4.4601	4.3637	4.0985	5.304	5.0146	4.8218	4.5204
Kusaha	13.0909	12.6818	12.6409	12.2727	12.109	12.109	12.2727	14.3181	14.7272	14.809	16.2	15.709	16.4454	15.5454	16.3636	16.2	16.3636	15.1363	14.809	13.909	18	17.0181	16.3636	15.3409
Lahan	19.9505	19.327	19.2647	18.7036	18.4542	18.4542	18.7036	21.8209	22.4443	22.569	24.6888	23.9406	25.0628	23.6912	24.9381	24.6888	24.9381	23.0678	22.569	21.1974	27.432	25.9357	24.9381	23.3795
Largest	37.1403	132.8547	132.4261	128.569	126.8548	126.8548	128.569	149.9972	154.2829	155.14	169.7112	164.5684	172.2825	162.8541	171.4254	169.7112	171.4254	158.5685	155.14	145.7116	188.568	178.2824	171.4254	160.7113
Phidim	2.6589	2.5758	2.5675	2.4927	2.4594	2.4594	2.4927	2.9081	2.9912	3.0078	3.2904	3.1906	3.3402	3.1574	3.3236	3.2904	3.3236	3.0743	3.0078	2.825	3.656	3.4565	3.3236	3.1159
Rupani	21.44	20.77	20.703	20.1	19.832	19.832	20.1	23.45	24.12	24.254	26.532	25.728	26.934	25.46	26.8	26.532	26.8	24.79	24.254	22.78	29.48	27.872	26.8	25.125
