Bus Number,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24 Voltage
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.984902,0.989997,0.988027,0.988248,0.988964,0.988343,0.989352,0.990488,0.990116,0.989972,0.989407,0.990769,0.989005,0.990856,0.989983,0.989558,0.989845,0.990216,0.990059,0.990220,0.988650,0.990696,0.989678,0.989544
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,0.985047,0.984950,0.984715,0.984737,0.985091,0.985235,0.984900,0.985106,0.985093,0.985198,0.985274,0.985414,0.985489,0.984927,0.985515,0.985289,0.985404,0.985053,0.985316,0.985323,0.985565,0.985214,0.985832,0.985567
6,1.000172,1.000164,1.000150,1.000164,1.000159,1.000161,1.000153,1.000147,1.000160,1.000172,1.000141,1.000165,1.000150,1.000169,1.000154,1.000145,1.000130,1.000146,1.000153,1.000168,1.000155,1.000127,1.000152,1.000145
7,0.976520,0.976326,0.975963,0.975911,0.976530,0.976734,0.976262,0.976618,0.976494,0.976727,0.976910,0.977023,0.977145,0.976249,0.977285,0.976929,0.976986,0.976397,0.976763,0.976949,0.977327,0.976832,0.977735,0.977284
8,0.976339,0.976145,0.975782,0.975730,0.976349,0.976553,0.976081,0.976437,0.976313,0.976546,0.976729,0.976842,0.976964,0.976068,0.977104,0.976748,0.976805,0.976216,0.976582,0.976768,0.977147,0.976652,0.977554,0.977103
9,0.982328,0.982185,0.982168,0.982126,0.982280,0.982387,0.982213,0.982377,0.982325,0.982314,0.982342,0.982431,0.982465,0.982202,0.982469,0.982354,0.982463,0.982298,0.982348,0.982406,0.982404,0.982291,0.982593,0.982458
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000001,1.000000,1.000001,1.000000,1.000000,1.000000,1.000001
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,0.975017,0.975039,0.974724,0.974739,0.975108,0.975144,0.974940,0.975038,0.975000,0.975220,0.975356,0.975309,0.975367,0.974942,0.975502,0.975356,0.975246,0.974952,0.975222,0.975299,0.975616,0.975345,0.975707,0.975511
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
  
© Ashish
bhattaashish907@gmail.com
